sentences,label
"연구결과 위선유도형식광고가 흡연자의 금연태도와 금연의지에 미치는 영향을 매우 긍정적인 것으로 나타났으며, 흡연자의 금연의지는 비록 통계적으로 유의미한 수준은 아니지만, 위선유도형식광고가 공포소구광고 보다 높게 나타났습니다.",1
4. 연구조사 다음은 저희가 진행한 연구조사에 대해 설명하겠습니다.,0
"저희는 금연광고에서 나타나는 공포감의 정도에 따라, 그리고 공포의 유형에 따라 개인의 태도변화에 어떠한 영향을 나타낼지를 조사하기 위해 총 152명을 대상으로 구글폼 설문조사를 실시했습니다.",0
"설문조사는 약 24일 동안 진행되었으며, 선행연구과 차별성을 두기 위해 흡연자와 비흡연자를 나누어 설문을 진행했습니다.",0
"신체적 위협에 따른 광고의 구분은 상, 중, 하의 세 단계로 나누었고, 사회적 위협에 따른 광고의 구분은 상, 하 두 단계로 나눴습니다.",1
"각 단계에 따라 광고를 구분하여 5개의 사진을 제시하였고, 설문 응답자가 각 광고마다 공포소구의 척도, 개인의 태도 변화, 타인의 태도 변화, 전체 중 가장 효과적이라고 생각되는 광고를 숫자 1에서 10 사이로 판단하도록 하였습니다.",0
"각 설문 항목을 자세히 보면, 각 광고에 대하여 1번~3번문항을 질문하여 개인이 느끼는 공포의 정도, 개인적 차원의 태도변화 가능성, 사회적 차원의 태도변화 가능성을 측정하였으며, 마지막 4번 문항을 통해 신체적 위협과 사회적 위협, 그리고 공포 소구의 정도를 결합하여 가장 효과적인 광고를 측정하고자 했습니다.",1
"다음은 설문조사에서 활용된 신체적 위협 광고, 그리고 사회적 위협 광고입니다.",0
"먼저, 신체적 위협을 사용한 광고 중, 가장 높은 공포수준을 보이는 광고입니다.",1
"다음은 신체적 위협 광고 중, 중간, 그리고 가장 낮은 공포수준을 보이는 광고입니다.",1
다음은 사회적 위협 공포유형을 사용한 광고들입니다.,1
"밑에 빨간색으로 된 문구를 보시면, ‘흡연, 가족과 친구들도 함께 죽이는 파멸의 습관’, 그리고 ‘공공장고 흡연은 사람들 사이에서 방귀뀌는 것과 같아’ 라는 문구를 통해 왼쪽 광고가 상대적으로 더욱 직접적인 사회적 위협을 나타냄을 알 수 있습니다.",1
"설문조사 결과를 통계정리한 결과, 비흡연자가 총 100명, 흡연자가 총 52명으로 취합되었습니다.",0
"먼저 비흡연자 통계정리를 살펴보면, 신체적 위협을 사용한 광고의 경우, 공포를 느끼는 정도는 조작화에 따라 ‘상-중-하’ 순서로 일치하게 나왔으며, 광고에 따른 개인적, 사회적 차원에서의 태도변화 정도 또한 동일하게 나타났습니다.",1
"사회적 위협의 경우, 공포를 느끼는 정도는 조작화에 따라 높음-낮음으로, 맞게 나왔으며, 개인적차원, 사회적 차원에서의 태도변화 역시 강-약의 순서로 나타났습니다.",1
신체적 위협과 사회적 위협 광고의 비교는 3번 박스에 나타나 있는 것처럼 정리되었습니다.,1
다음은 흡연자의 통계를 정리한 표입니다.,0
"흡연자 통계정리를 보면, 응답자들이 신체적위협, 사회적위협 광고 모두에서 저희가 설정한 상-중-하, 상-하의 순서에 맞게 공포의 정도를 느끼는 것으로 나타났습니다.",1
"개인적 차원의 태도변화 정도, 사회적 차원의 태도변화 정도 역시 모두 동일한 순서로 나타났습니다.",1
"신체적 위협과 사회적 위협을 비교했을 때, 흡연자 통계가 비흡연자들의 설문조사 결과와 다른 점은, 3번 박스에 나와있는 것 처럼, 공포의 수치정도, 개인적 차원의 태도변화, 사회적 차원의 태도변화 모두에서 높은 공포수준의 사회적 위협 광고가 가장 낮은 수준의 신체적 위협 광고보다 높은 수치를 나타낸다는 것입니다.",1
다음은 설문조사에서 4번 문항에 대한 답변을 정리한 표입니다.,0
"각 유형의 광고에 대해 전체적으로 보았을 때, 신체적 위협과 사회적 위협 모두에서 공포수준이 높을수록 설문 응답자에게 더 많은 영향을 주는 것으로 나타났습니다.",1
앞서 말씀드린 통계조사를 토대로 내린 소결입니다.,0
"먼저 비흡연자의 경우, 공포를 느끼는 정도와 개인적 차원의 태도변화는 상관관계에 있으며, 비흡연자는 사회적 위협보다 신체적 위협에 대한 공포를 더 크게 느낍니다.",1
"반면 흡연자의 경우, 공포의 수치정도와 태도 변화가 상관관계에 있다는 점에서는 비흡연자와 동일하지만, 비흡연자와 달리 낮은 수준의 신체적 위협 광고 보다, 높은 수준의 사회적 위협 광고에 대해서 더 큰 공포를 느끼고, 이에 대한 태도변화의 정도 역시 더 크다는 결과가 나왔습니다.",1
이는 흡연자가 신체적 위협보다 사회적 위협의 공포에 더 크게 반응하는 경향을 보인다는 것을 말합니다.,1
"5. 결론 및 한계 먼저, 흡연자와 비흡연자 모두 공포를 느끼는 정도가 높을수록 태도 변화의 정도가 높아진다는 것을 알 수 있습니다.",1
"또한 흡연자와 비흡연자 모두 전반적으로는 사회적 위협보다는 신체적 위협에 대해 더 큰 공포감을 느끼고, 태도변화의 정도 역시 더 크게 나타납니다.",1
다만 흡연자의 경우는 비흡연자보다 사회적 위협에 대해 더 큰 영향을 받는 경향이 나타납니다.,1
"저희 발표의 한계는 먼저 추가적인 다른 변수의 개입에 대한 고려가 없어, 비흡연자의 사회적 차원의 상관관계를 설명하지 못했다는 점입니다.",1
"예를 들어, 개인적 차원의 태도 변화에 대해서는 자신이 현재 비흡연자이기 때문에 사회적 차원의 위협을 경험해보지 못했고, 당장의 신체적 위협을 더 크게 생각하기에 상관관계가 나타날 수 있지만, 주변 사람들에게 금연을 권유할 때는 흡연이 비흡연자인 자신에게 피해가 갈 수 있기 때문에 흡연자 개인에 대한 낮은수준의 신체적 위협 보다 높은 수준의 사회적 위협을 강조하는 것이 주변 사람들에게 설득력이 있다고 생각하기 쉽습니다.",0
"또한, 기존 연구에서 제시했던 극단적 공포감이 태도변화에 부정적 영향을 끼치는 것을 설명하지 못했습니다.",1
"저희가 실시한 설문조사에서 왜 이러한 종류의 태도변화가 반영되지 않았는지에 대해 세가지 가설을 생각해봤는데요,",0
"(가설 1. 우선, 저희 연구에서는 공포의 조작적 정의를 구체적으로 제시하지 않아 연구 대상자들이 설문 조사를 함에 있어 공포를 일반적, 사전적 정의로 판단했을 가능성이 높습니다.",1
"또한, ‘분노’라는 매개변수를 고려하지 않고 연구를 진행했기에, 반발심이 측정되지 않았을 수도 있습니다.)",1
"(가설2. 혹은, 신체적 위협-상, 사회적 위협-상으로 판단한 변수들이 연구 대상자들이 느끼기에 충분한 위협이 되지 않아, 반발심을 불러일으키기에 약하다고 판단되어질 수 있음)
(가설 3. 통계 상 비흡연자의 응답률이 더 높았으므로 직접적인 위협을 느끼기가 어려웠을 수 있음)
마지막으로, 설문조사에 대한 표본의 대표성이 부족할 수도 있다는 점입니다.",1
고신뢰 거래적 계약의 사례인 미국에 대해서 분석해 보겠습니다.,0
먼저 다음은 미국에서 연도별 신차 및 중고차 판매 대수의 표입니다.,1
"파란색은 신차 판매 대수, 남색은 중고차 판매대수입니다.",0
"여기 자료 속 사진에서 20177년 신차의 비율은 17.1, 중고차의 비율은 42.7퍼입니다.",1
"조금 더 구체적인 숫자로 나타낸다면 신차의 판매는 17750대, 중고차의 판매는 45000대인 것을 보실 수 있습니다.",1
이는 중고차 판매 대수가 신차 판매대수보다 훨씬 많음을 의미합니다.,0
미국의 중고차 시장은 앞서 저희가 말씀드렸던 애컬로프의 레몬마켓 이론의 배경이 되었습니다.,1
"과거 미국 중고차는 사기 매물이 만연하였기 때문에 2000년대 이전까지는 레몬 시장의 전형적 모델에 해당하였고, 1977년 헤리서 여론조사에서 중고차 시장은 신뢰도가 낮은 직업군으로 선정되기도 하였습니다.",0
"과거 미국의 고객 불만접수 건 NWD 70%가 기계적 결험이었고, 그중 30일 이내는 81.1%, 일주일 안에는 46.3%, 당일에는 23.3%가 매물에서 결함이 발생했음을 보아, 전형적으로 사기 매물이 만연한 레몬 시장임을 알 수 있습니다.",0
미국에서 이러한 레몬 시장의 문제를 해결하기 위해서 세운 대책은 레몬법입니다.,1
"미국에서 보증하는 레몬법의 구체적인 내용은 
첫째, 문서화된 보증 증서를 소비자에게 제공하지 않고서는, 자동차를 판매할 수 없다.",1
"둘째, 문서화된 보증 증서를 교부하지 않았더라도 발급받은 것으로 여긴다.",1
"셋째, 비교적 짧게 보증 기간을 가진다.",1
넷째 필수 보증 장치를 명시해야 한다.,1
다섯째 정해진 기간 내에 문제를 해결하지 못하면 구매자의 자동차 반환 요구를 받아들여야 한다.,1
여섯째 자동차가 45일 이상 사용되지 못한다면 자동차의 교체 혹은 구매금액의 전액 환불을 해야 한다.,1
"일곱째, 사고 입증 책임은 구매자가 아니라 판매자에게 있다.",1
이는 구매자를 보호하며 사기 매물을 줄이는 방안을 제시하여서 레몬 마켓에서 레몬이 아닌 피치를 찾을 수 있도록 보장하는 제도로 볼 수 있습니다.,1
아래는 또 다른 레몬법의 예시인 주행거리에 따른 상이한 보증기관입니다.,0
다음은 브로커에 대한 전문성 및 신뢰 확보입니다.,1
미국은 클래스디라는 국가보증제도를 도입해서 중고차 딜러에 대한 전문성을 보장하도록 하였습니다.,1
클래스 디에서 요구하는 미국 브로커가 가져야 하는 자격 요건은 첫째 차량 직접 매입 및 관련 업종 겸업 금지 둘째 사업장 확보 및 사업자 등록 필수 셋째 이행보증 증권 매입 및 배상 책임보험 가입 넷째 신원조회 절차 경유 다섯째 한시적 면허 부여 및 장기적 심사 후 재교부 여섯째 엄격한 수수료 청구 기준 일곱번째  상품 차 전시 및 고객 주차 공간 확보 여덟번째 영업시간 준수 아홉 번째  정비공장의 확보가 있습니다.,0
이렇게 까다로운 절차를 통해 선정된 브로커들은 단순히 이런 제도 뿐 아니라 근속년도에 따라서도 신뢰성을 보장받을 수 있습니다.,1
아래 제시된 표를 보시면 2016년 21년 이상 근무한 미국 중고차 대표의 비율이 28.4%인 것을 확인하 실 수 있습니다.,1
또한 미국 내에서 10년 이상 근무한 중고차 대표의 비율이 전체의 50%가 넘는 것을 보아 브로커에 대한 전문성과 동시에 신뢰성이 근속년도를 통해 확보 되었다고 판단할 수 있습니다,1
다음은 시장의 대기업화로 인한 전문성 확보입니다.,1
90년대 이전에는 파편화된 가족 위주 경영이었지만 중고차 시장의 대부분을 차지했지만 90년대 중반 이후로 대형 중고차 기업들이 미국 중고차 시장에 진출하기 시작했습니다.,1
"왼쪽부터 미국 중고차 대기업이라고 여겨지는 기업인 카멕스, 캘리 블루 북, 칼팩스의 로고입니다",0
"다음 표에서 나오는 것은 왼쪽부터 독립 딜러들의 거래, 프렌차이즈의 거래 그리고 사적 거래입니다.",0
2011년 기준으로 기업화 된 중고차 딜러 매출액의 비율은 45.7퍼로 높은 비중을 차지하고 있는 것을 확인할 수 있습니다.,0
"또한 독립적으로 미국의 중고차 대기업 카멕스만 본다면 17년도에 총 도소매의 판매합계가 백만대가 넘고, 판매 거점은 총 173곳, 종업원이 2344명인 것을 보아 중고차 회사 업계의 최대 규모임을 확인할 수 있습니다.",0
"최대 규모를 자랑하는 기업 카멕스의 특징은 1.정찰제 2. 고정판매 수당제 3. 5일간 무조건 환불 보장제 4. 6년, 10KM 이하 차량만 소매 및 매입 당시 125가지의 자체 품질 검사를 시행 5. 판매 후 30일 이내 발생하는 문제는 자체적인 보증과 30일 초과 보증 6. 직원에 대한 철저한 교육 및 대우 시스템 7 매도 및 매입 시 복잡한 계약 서류를 대행하는 대행 서비스가 있습니다.",1
이는 곧 대기업의 개입으로 중고차 판매 시장의 전문성과 신뢰성을 확보햇고 그를 통해 중고차가 백만대 이상 팔리는 큰 수익을 냈음을 확인 할 수 있습니다.,1
다음으로 미국과는 또 다른 형태인 고신뢰 거래적 계약의 케이스인 일본에 대해서 설명해 드리겠습니다.,0
일본은 과거부터 현재까지도 신차 판매 대수보다 중고차 판매 대수가 더 많은 나라입니다.,1
여기 제시된 표를 통해 그 사실을 확인하실 수 있습니다.,0
"표에 제시된 가장 최근 년도인 2016년에 신차 판매 대수는 5970258(오백구십칠만이백오십팔 대), 중고차 판매 대수는 6756122(육백칠십오만 육천백이십이 대)인 것을 보시면 확실히 중고차 판매 대수가 우세하신 것을 아실 수 있습니다.",0
"이를 조금 더 구체적인 수치로 나타내면 중고차 시장의 산업 규모는 5678억엔, 한국 원화로 1엔화 당 1095원이라고 가정하면 총 6조 2207억원입니다.",1
"또한 시장의 전년 대비 증가율은 11.4%고, 증가율에 따른 수익성은 6.0%입니다.",1
"그리고 중고차 시장에 종사하는 직장인들의 평균 연봉은 450만엔, 한국 돈으로는 약 4930만원에 해당합니다.",0
일본 중고차 시장의 역사를 보면 1930년도 이전 초기에는 지역 자본가 중심 구성 사회로서 포드 딜러가 주를 이루었습니다.,1
이후 판매 부진으로 인해 1930년대 이후 도요타나 닛산과 같은 일본 중고차 브랜드로 신규 세력을 교체하게 되었습니다.,1
2차 세계 대전 이후 정부와 메이커 그리고 딜러가 공동관리하는 체계로 바뀌어 중고차 시장은 배급제로 운영이 되었습니다.,1
"1950년 초기에는 과거 형태인 지역 자본가 중심체계로 다시 복귀하였고, 1970년대 이후에는 현재에도 일본에서 왕성하게 진행되고 있는 중교차 경매 시스템을 jaa사에서 1971년 처음으로 시행하게 되었습니다.",1
"이후, 미국과 유사한 형태로 거대 자본의 유입이 되었고 메가 딜러화와 경매와 신차, 중고차가 함께 이루어지는 혼합 차량 판매의 형태로 바뀌게 되었습니다.",1
"일본의 중고차 시장의 전문성을 위한 법제도로는 제시한 사진 속 왼쪽 경품표시법, 오른쪽 공정경쟁규약 설정이 있습니다.",1
왼쪽의 경품표시법은 소비자를 보호하는 제도로 구체적으로는 일반 소비자의 이익확보와 공정적 경쟁확보라는 이름으로 부당한 고객 유인을 금지한다는 법을 제정하고 있습니다.,0
또한 오른쪽에는 문제가 생겼을 때를 대비한 제도로 규약 설정 신청을 통해 공정 거래 위원회의 심사를 받게 할 수 있음을 알려주는 법제도입니다.,1
여기서 말하는 규약설정은 쉽게 말하면 합의 제도로 생각하시면 됩니다.,0
또 다른 제도로는 중고차 시장 매매업체 제도입니다.,0
"일본의 제도에서는 첫째 매매상사 대표가 매매사원을 채용해야 하고, 급여를 제공해야 한다.",1
둘째 매매사원은 소속 상사 보유 차량에 대해서만 매매를 관리해야 한다.,1
셋째 타 매매상사의 차량에 대해서 매매알선을 하기 위해서는 상사대표의 허락이나 동의를 구하도록 해야만 한다.,1
이는 법적으로 피고용인이지만 자유직업 혹은 개인사업자에 해당하는 한국의 딜러와는 비교되는 법적 제도로 딜러를 보호하는 사례로 볼 수 있습니다.,0
일본 딜러에 대한 전문성을 보장하는 제도는 중고 자동차 사정사라는 구체적인 이름을 가지고 있습니다.,0
중고자동차 사정사는 중고차 사정제도에 기초하여 중고차 사정을 실시할 수 있는 자격을 갖춘 사람을 의미합니다.,1
중고자동차 사정사 과정에는 첫 번째 사정협회가 실시하는 학과 및 기술연수 두 번째 중고자동차 기능 검정에 응시하고 세 번째 자동차 사정협회에 등록을 해야 합니다.,0
이런 까다로운 과정을 통과한 딜러는 이에 대한 보상으로 첫째 일본 중고차 판매 연합에 판매사로 등록을 해 주며 두 번째 홈페이지에 중고차 판매사 혹은 중고차 판매사 제직 점포로 검색하게 해 주고 세 번째 홈페이지 배너 검색에서 검색을 가능할 수 있게 해 줍니다,1
"또한 이 제도와 별개로 일본에는 적정 판매점 제도가 있는데, 이는 중고 자동차 매매상을 대상으로 하는 신뢰제도입니다.",1
까다로운 인증 조건과 허가 절차를 걸쳐 선정이 됩니다.,1
이 제도를 통해 일반 딜러는 메가 딜러로 거듭납니다.,0
사진에 제시된 것처럼 홈페이지에 이름을 올리 수있게 되는 것입니다.,0
구체적인 일본 중고차 시장의 대기업 예시로서는 걸리버 중고차가 있습니다.,1
일본 최대의 중고차 회사라고 불리는 걸리버 중고차는 매출이 연 2760억엔 한국 돈으로는 약 3조에 해당합니다.,1
중고차 판매대수는 약 12만 5천대입니다.,0
"이 걸리버 중고차의 특징은 총 550개의 점포가 있으며, 국산차는 100일 수입차는 30일 이내 반환이 가능합니다.",1
수입차는 최장 5년 국산차는 최최장 10년까지 보증을 해 주는 가장 큰 규모의 대표적인 일본 중고차 시장입니다.,0
이러한 보장 제도는 일본 내 다른 메가딜러들의 벤치마킹 모델이 되기도 합니다.,0
이는 대기업의 개입을 통해 전문성과 신뢰성을 확보한 경우라고 말할 수 있습니다.,1
허나 일본은 상세하지 않은 중고차 이력 조회 시스템과 중고차 전체의 유통당시 마진과 수리비용을 알 수 없음이라는 한계가 있기 때문에 정보의 비대칭성이 해결되지 않았습니다.,1
"이는 곧 신뢰성 확보를 통해 거래적 계약으로 넘어갈 수 있는 발판은 있으나, 정보비대칭성이 존재하여 관계적 계약으로 넘어갈 수는 없음을 의미할 수 있습니다.",1
다음으로는 상호신뢰 관계적 계약을 기반으로 한 이상적 계약의 사례인 독일입니다.,1
독일은 대기업과 판매자 구매자 세 방면으로 나눠 각자 상호신뢰도와 정보대칭으로 인해 관계적 계약이 형성된 사회라고 볼 수 있습니다.,1
"먼저 대기업은 아인젤한델, 한국 말로는 소매업에 자신 브랜드 이름을 빌려 열도록 허용하거나, 자체적으로 교육을 받은 딜러를 고용합니다.",1
"여기서 고용하는 딜러나 소매업자, 둘 다 아우스 빌둥 독일의 기술 인력 교육 졸업 후 추가적인 교육을 3~4 정도 더 받은 후 한 곳에서 두 곳의 허가를 받아 딜러로 고용되거나 소매업을 엽니다.",1
"구매자는 정확한 정보를 얻을 수 있는 여러 사이트나 잡지를 통해서 정보를 수집 후, 선호하는 브랜드의 가까운 매장을 방문합니다",0
독일의 중고차 시장은 대기업 신뢰와 평판을 기반으로 형성되었습니다.,0
"독일의 중고차를 운영하는 대기업 회사는 여러분이 익히 아시는 bmw, 아우디, 벤츠, 폭스바겐 등이 있습니다.",1
"독일의 1년 신차 판매량은 340만대, 중고차 판매량은 800만대인 것을 보아 독일도 앞 두 나라처럼 중고차 시장이 활발하다는 것을 아실 수 있습니다.",0
"중고차 회사는  대기업의 이름과 자신의 이름을 걸고 대를 이어 딜러 가게를 운영하는 곳이 많고, 대리점의 브랜드 파워를 중시합니다.",1
