context,nouns
"일반적으로 터키의 아라랏 산의 경우, 실제 성경 속에 등장하는 아라랏 산은 지금 아라랏이라 불리는 하나의 산이 아니라 당시 아라랏이라고 불리던 광대한 지역의 산들을 모두 가리키는 표현이라는 주장도 나와 있으며, 또한 목재로 만들어진 방주가 현재까지 남아있을 수는 없다는 비판도 받고 있다. 예를 들어, 1955년 프랑스의 탐험가인 Fernand Navarra가 발견한 목재 파편의 경우, 스페인의 임업 연구소에서 목재의 특성을 토대로 5000년 전의 것이라고 밝히긴 했으나 그 신빙성에 문제점이 있었고 후에 방사성 동위원소 측정법 등의 첨단 과학의 도움을 받은 5개 연구소에서 모두 기원 이후의 시기로 연대를 측정했다. 2009년 뿐 아니라 거의 수년에 한번씩 어디선가 노아의 방주를 발견했다는 주장들이 제시되었지만, 심지어 같은 창조과학을 주장하는 사람들에게조차 비판받을 정도였다. 노아의 방주가 다른 여러 지방에서 발견되었다는 주장이 있으나 너무나 다양한 지방(중국, 터키, 인도 등)에 걸쳐있고, 그 주장도 각각 제각각이므로 신빙성이 없다. 예를 들자면, 중국 BTV에서는 2012년에 중국에서 노아의 방주가 발견되었다는 보도를 하였는데, 이것은 창조과학회에서 주장하는 장소와는 전혀 다른곳이기도 하며, 화석화가 진행되지 않은 나무의 존재등으로 가짜임이 밝혀졌다. 때때로 일부 ""학자""라 칭하는 사람들이 이를 찾기 위해 노력한다고 주장하지만, 이는 학계에서 유사지질학으로 평가되고 있다.","{' 목재', ' 발견', ' 노아의 방주', ' 보도', ' 프랑스', ' 중국', ' 나라', ' 때문', ' 파편', ' 현재', ' 진행', ' 것', ' 방송사', ' 화석', ' 탐험가', ' 연구소', ' 주장', '년', ' 이름', ' 가짜', ' 년', '중국', ' 스페인', '노아의 방주'}"
"기독교 성경 내용에는 모든 종들을 방주에 태운다고 이야기하고 있으나, 어류나 수중 생물에 대해서는 언급하지 않았다. 이것을 신학적 의미로만 받아들이면 괜찮은 문제이나, 이 현상이 실제로 일어났다고 가정할 경우,이는 종 간 생존 환경의 차이에 대해서 간과하고 있다. 수중 생물이라 하더라도 종에 따라 생존할 수 있는 환경은 각각 다른 것이며, 40일 이내에 현존하는 가장 높은 산인 에베레스트 산도 잠기게 할 정도의 폭우로 인해 담수와 염수가 급작스럽게 섞일 경우, 급격한 삼투압 변화로 인해 대부분의 수생생물들이 폐사하게 되며, 결과적으로 육지 뿐 아니라 바다와 강의 모든 생태계가 파괴된다. 이후 5천년이라는 지극히 짧은 세월 동안 지구상의 동식물이 모두 페름기 대멸종 또는 K-T 대멸종에 준하는 대량절멸에 가까운 상태에서부터 시작하여 현재의 대략 870만(±120만)종에 달하는 생물다양성을 획득하려면 모든 생물들이 각 세대마다 종분화가 일어나야 할 만큼 엄청난 속도로 진화 및 번식이 (멸종 없이) 이루어져야만 가능한 일이다. (이와 관련하여 창조과학회 측에서는 북극곰의 예시를 통해 가지고 있던 특성이 없어지는 것이 진화가 아니라고 주장하지만, 통상적으로 알려진 바와 같이 생물학에서는 이미 존재하는 특성이 없어지는 현상, 즉 퇴화 역시 진화의 정의에 포함된다.) 즉, 노아의 홍수가 실재하는 사건이었다면 진화적 종분화가 현재까지 알려진 것과 비교할 수 없이 엄청난 속도로 이루어져야만 현재 지구의 생물다양성을 설명할 수 있다. 게다가 이것은 현재의 생물종 멸종 속도를 전혀 고려하지 않았다. 다시 말해, 노아의 홍수가 실재하는 전지구적인 사건이기 위해서는 최소 캄브리아기 대폭발 수준의 폭발적인 진화적 종분화가 1-2억년이 아니라 최대 3-4천년 이내에 이루어졌어야만 현생 지구의 생물다양성에 대한 설명이 가능해진다. 그보다 더 중요한 것은, 각 동물들이 차지하는 영역과 먹이사슬에서의 위치, 375일 동안 먹이도 없이 밀폐된 공간으로 인해 받을 스트레스 등 생태적 지위에 대한 고려가 전혀 없다는 점이다. 또한 바다에서 생존이 불가능한 생물종까지 숫자에 포함되었다는 점에서 논란이 있다.","{' 만', ' 예시', ' 원인', ' 생물', ' 종', ' 창조과학', ' 물류', ' 일', ' 노아의 방주', ' 동물', ' 다양성', ' 얼마', '현재', '노아', ' 날짜', ' 폐사', ' 인가', ' 변화', ' 현', ' 홍수', ' 지구의', ' 경우', ' 것', ' 진화', ' 대부분', ' 담수', ' 수', ' 종분화', '담수', ' 염', ' 주장', ' 회의', '대홍수', '폭우', ' 이내', '특성', ' 년', ' 가족', ' 실재'}"
"창조과학회에서는 또한 노아의 방주가 안정적인 구조였다고 주장하지만, 이와는 달리 노아의 방주는 항해가 불가능한 설계에 가깝다. 실제로 창조과학에서 주장하는 방주의 크기와 철제 부품을 사용하지 않은 목재 선박 중에서 가장 큰 수준의 선박들을 비교하면 배수량이 두배 이상 차이난다. 그리고 목재 선박은 강도 상의 문제 때문에 통상 길이 100m, 배수량 2000톤 정도가 한계로 여겨져 왔다. 창조과학회에서는 노아의 방주의 안정성을 실험하기 위한 연구가 있다고 주장하기도 하나, 그 자체의 불합리성에 대한 비판을 받고 있으며, 관련 주요 연구자는 지질학 석사학위, 생물학 학사학위를 가진 초등학교 교사로서, 주류 학계의 학회나 저널 등에 발표한 적이 없으며 또한 정당한 피어 리뷰에 의해 검증받지 않았다.","{' 안정', ' 상', ' 직업', ' 단체', '목재', ' 구조', ' 강도', ' 문제', ' 실험', ' 연구자', ' 주장', ' 집단', ' 한계', ' 선박', ' 안전', ' 배수량', ' 얼마', ' 연구', ' 길', '노아의 방주'}"
"1868년 게이오 4년 4월 11일 에도 성 무혈 개성을 한 이후 신정부 군에게 양도가 약속되어 있었다. 그러나 해군 부총재, 에노모토 다케아키가 기상 불량 등을 이유로 이를 연기한 후에 결국 인도를 거부했다. 도쿠가와 요시노부를 슨푸 번에 이송할 때의 태운 함선으로 사용한 후, 8월 19일 자정 (20일)에는 마쓰오카 바키치를 함장으로 카이요마루, 가이텐마루, 신소쿠마루, 간린마루 등과 함께 막부 해군이 정박하고 있던 시나가와 해역을 탈출했다. 그 때 태풍에 휘말려 침몰직전이 되었지만, 1개월만에 에노모토 해군과 합류하였다. 에조치에 건너가 하코다테 전쟁에서는 에노모토(하코다테 정부) 해군의 주력함이 되었다. 영국이 기증했을 때 엠퍼러(Emperor, 기증 당시 일본의 수장은 황제가 아니라 쇼군으로 인식되고 있었기 때문에 장군을 지칭)로 명명하고 있음에서 알 수 있듯이, 쇼군용 유람 요트로 기증되었다고 생각되지만, 세상이 그것을 허락하지 않았다. 아이러니하게도, 군함에 통합되어 실제로 쇼군이 첫 좌승한 것이 대정봉환 이후 슨푸 번에 이송되었을 때였다.","{' 8월 19일', ' 거부', ' 좌', ' 후', '군함', ' 해군', ' 가와', ' 당시', ' 반류마루', ' 승', ' 일본', ' 주력함', '쇼', ' 해역', '에', ' 이유', ' 사람', ' 탈출', ' 4월 11일', ' 등', ' 인도', ' 게이오', ' 모토', ' 것', ' 시나', ' 정박', ' 이송', ' 불량', ' 약속', ' 군', ' 노', ' 이후', ' 연기', ' 정부', ' 대정봉환', ' 때', ' 부총재', '년', ' 시간', ' 전쟁', '막부', ' 기상', ' 양도', ' 통합', ' 쇼', ' 엠퍼러', ' 년', ' 자정'}"
"일련의 하코다테 전쟁은 적아 쌍방의 문서에 마쓰오카 바키치 함장의 능란한 조함 능력과 냉정한 지휘만이 기록되어 있다. 함포 사격으로 마쓰마에 성을 공격하여 엄호한 이후, 1869년 메이지 2년 3월 25일 미야코 만 해전에서는 폭풍우를 만나 요함과 헤어졌을 때에 만날 약속했던 하치노헤 항에서 대기하고 있었기 때문에 참전에는 이르지 못했다. 이 폭풍우 때도 “함장 마쓰오카 바키치는 배를 조정하는 명수로 로프 하나 손상되지 않았다”고 타고 있던 하야시 다다스가 남긴 바 있다. 이 귀로에서 신정부 군의 철갑함의 추격을 받았다. 기관 능력의 차이로 인한 속도차 때문에 도주가 불가능하다고 판단하고 맞장 공격을 하겠다고 전투 준비를 했지만, 철갑선의 사정거리에 들어간 순간에 순풍이 불기 시작하여 추격을 뿌리치고 하코다테로 돌아올 수 있었다.","{' 추격', ' 순간', ' 시작', ' 남은', ' 코다', ' 원인', ' 능력', ' 테', ' 항구', ' 철', '함장', ' 코', ' 하', ' 키치', ' 반류마루', '하코다테 전쟁', ' 날짜', ' 마쓰오카', ' 갑', '마쓰오카', ' 해전', ' 항', ' 사람', ' 사정거리', ' 년대', ' 바', ' 지휘', '미야', '철', ' 해', ' 순풍', ' 명수', ' 약속', '반류마루', ' 수', ' 노', ' 함장', ' 때', ' 폭풍우', ' 말', ' 이름', ' 로프', ' 전쟁', ' 시', ' 대기', ' 조정', ' 선의', ' 손상', ' 미야', ' 전당시', ' 하치', ' 배', ' 기록'}"
"같은 해 5월 11일의 하코다테 총공격(하코다테 해전)에서 벤텐 다이바와 기관 고장으로 움직일 수 없는 떠 있는 포대가 된 가이텐마루의 원호를 받으며 신정부 군 함대와 응전을 벌인다. 새 정부 군함 초요마루의 화약고에 작렬탄을 명중시켜 초요마루는 대폭발을 일으켜 2분만에 굉침된다. 이것은 구 막부군의 사기를 단번에 향상시켰다. 그후 반류마루는 신정부군의 집중 포화를 맞았다. 응전을 계속했지만, 오후가 되면서 탄약이 완전히 소진되었기 때문에 부득이 퇴함을 결정했고, 벤텐 다이바 아래까지 물러나 얕은 물에 좌초시켰다. 승무원은 기관을 파괴 후 (함장 마쓰오카 바키치가 ‘나중에 사용할 수도 있을 것’이라고 방화를 금지했기 때문에 불태우지는 않음), 벤텐 다이바 근처에 도착, 적지 한 가운데를 가로질러 오다이바로 들어갔다. 이날 신정부군의 손에 반류마루는 방화를 당했지만, 화재는 돛대를 태우는 정도에 그쳤고, 선체는 대부분 타지 않았으며, 그 중간 돛대가 부러지면서 균형을 잃고 전복되면서 진화되었다.","{' 명중', ' 가이텐', ' 전', ' 원호', ' 마루', ' 분만', ' 탄', ' 소진', ' 정부군', ' 반류마루', ' 해전', ' 오후', ' 5월 11일', ' 군', '반류마루', ' 군함', '정부군', '초요마루', ' 함대', ' 함장', ' 정부', ' 대폭발', ' 때', ' 방화', '년', ' 하코다테 해전', ' 이름', ' 결정', ' 응', ' 손', ' 함정'}"
"서양 철학(西洋哲學)은 서양에서 이루어진 철학적인 생각과 관련된 용어로, 동양 철학이나 다양한 지역에 존재하는 토착 철학들과 대비된다. 역사적으로 이 용어는 서구 문화의 철학적 사고와 관련하여 최근에 만든 것이다. 고대 그리스의 그리스 철학에서 시작하여, 결국 북아메리카와 오스트레일리아를 포함하는 지구의 넓은 영역에 퍼진 사유를 말한다. 북아프리카나 중동의 일부, 러시아를 비롯한 여러 지역의 사상도 포함시킬 것이냐에 대한 논란이 있다. ""철학""이라는 용어 자체는 고대 그리스어에서 유래한 것이다. ""필로소피아""(φιλοσοφία)는 문자적으로,""지혜에 대한 사랑"" 이다(φιλεῖν - 필레인 ""사랑하다""와 σοφία - 소피아 ""지혜"", (한국어 표현으로는 '지혜' 보다는 오히려 '지식'의 뜻과 더 유사하다). 오늘날의 용어로 보면, ""서양 철학""은 분석 철학과 대륙 철학이라는 두 가지 주요한 전통을 지니고 있다.","{' 유래', ' 서양 철학', ' 전통', '분석', '오늘날', ' 용어', ' 개', ' 대륙 철학', ' 나머지', ' 가지', ' 분석철학', ' 철학', ' 언어', ' 것', ' 중', '철학', ' 자체'}"
"철학의 범위에 대한 고대의 이해와 고대 철학자의 글쓰기를 살펴보면, ""모든"" 지적 노력을 철학에 포함시키고 있다. 그들의 ""철학""은 오늘날 철학의 문제라고 생각하는 것도 포함하지만, 다른 분과에 속하는 것으로 보이는 문제도 같이 다루고 있다. 예를 들면 순수 수학과 물리학, 천문학, 생물학을 포함하는 자연 과학에 해당하는 것도 철학에서 다루고 있는 것이다. (아리스토텔레스는 위에서 언급한 모든 주제에 관한 책을 썼다. 17세기 후반에도 여전히 위의 분야들이 ""자연 철학""의 분과에 속하는 것으로 언급되었다.) 시간이 흘러, 대학에서 학문의 분화와 과학 기술의 빠른 발전이 이러한 과학들이 철학과는 별도의 학문으로 분리되는데 기여했다. 수학은 고대 세계에서 전문적인 과학이 되었고, ""자연 철학""은 자연 과학의 여러 분과들로 발전하여 과학 혁명으로 가는 길을 마련하였다. 오늘날 철학적인 질문은 항상 특정한 과학의 과제들과는 명확하게 구분되며, 자연과학과는 달리 인간 본성에 대한 추상적이고 기본적인 질문을 담고 있다는 점에서 특징을 지닌다. 또한 철학적인 질문은 실험을 통해서 답변해야만 하는 의무사항을 지니고 있지 않다.","{'17세기', ' 질문', ' 순수', ' 세계', ' 과학 혁명', ' 길', '철학', ' 마련', '자연과학', ' 문제', ' 사람', ' 천문학', ' 등', ' 철학', ' 발전', ' 분과', ' 책', ' 전문', ' 수학', ' 답변', ' 물리학', ' 분야', ' 독립', '고대', ' 사항', ' 생물학', ' 이전', ' 과학', ' 학문', '순수', ' 외', ' 실험'}"
"""서양 철학""이라는 용어의 지정학적 경계는 19-20세기에 걸쳐 형성되었다. 이 시기 이전에 대부분의 유럽 사람들은 국가나 철학, 문화에 대해서 ""서양""이란 개념이 없이, 서로 다른 국가와 언어, 개인, 지리학적인 지역이라고 생각했었다. 많은 세계 지도가 조잡하고 부정확했으며, 1800년대 이전에는 유럽 너머의 다른 지역의 특정한 지리적, 정치적 차이가 잘 알려지지 않았다. 정확한 지도가 매우 드물었으며, 유럽과 멀리 떨어진 지역에 사는 사람들에 대한 정확한 정보도 거의 없었다. 일부 사람들이 생각하는 것처럼, 서양 철학은 주로 유럽에서 유래한 생각으로 최근에 형성되었다. 우리가 오늘날 서양 철학이라고 생각하는 것은, 그리스-로마와 유대-기독교 문화, 르네상스, 계몽주의, 식민주의로서 일반적으로 정의된다. 때때로 ""서양 철학""이라는 용어는 수천년간 등장한 너무나 다양하고 서로 상반되는 전통과 정치, 종교, 사상가들을 총망라하고 있는 개념이어서 쓸모없거나 의미를 이해하기 힘든 말이다.","{'최근', '20세기', ' 서양 철학', ' 세기', ' 최근', ' 형성', ' 경계', ' 국가', '서양', ' 개념', ' 서양', ' 사람', ' 나라', ' 철학', ' 것', ' 시각', ' 19세기', '서양 철학', ' 시기', ' 용어', ' 대륙', ' 유래', ' 문화', ' 지정학'}"
"철학과 같이, 대부분의 종교 연구는 실험을 하지 않는다. 신학은 신의 존재와 본성을 다루는 부분이 있으며, 그 점에서는 명확하게 종교 철학과 관심사가 겹쳐진다. 아리스토텔레스는 신학을 형이상학에서 뻗어나온 가지로서 철학의 중심 분야로 간주했으며, 대부분의 서양 철학자는 20세기에 이르기까지 신학적인 질문에 답하려고 노력했다. 따라서 철학과 신학은 관계가 없지 않다. 그러나 세계 종교의 차이를 비교하는 비교 종교학을 비롯한 종교 연구의 다른 부분에서는, 철학이 다른 사회과학과 구분되듯이 종교 연구와 철학이 쉽게 구분된다. 이러한 종교 연구는 역사학이나 사회학에 좀 더 가깝고, 특정 종교의 실천과 같은 특정한 현상이 명확하게 드러내는 특성을 관찰한다.","{'20세기', '신의 존재', ' 질문', ' 신학', ' 종교', ' 차이', ' 본성', '아리스토텔레스', ' 학문', ' 간주', '세계', ' 분야', ' 상위', ' 철학', ' 비교', ' 것', ' 곳', ' 노력', ' 중심', ' 연구'}"
